文件名,特征,特征面数,打标签数量,准确率(%)
GFR_01819 , clip ,94,94,100.0
GFR_01818 , contact ,101,101,100.0
GFR_01818 , rib ,117,117,100.0
GFR_01818 , boss ,164,164,100.0
GFR_01817 , contact ,131,131,100.0
GFR_01817 , boss ,179,179,100.0
GFR_01816 , clip ,402,402,100.0
GFR_01816 , contact ,30,30,100.0
GFR_01816 , rib ,42,42,100.0
GFR_01804 , clip ,56,56,100.0
GFR_01803 , rib ,68,68,100.0
GFR_01875 , contact ,223,223,100.0
GFR_01776 , clip ,180,180,100.0
GFR_01786 , rib ,63,63,100.0
GFR_01785 , contact ,183,183,100.0
GFR_01784 , contact ,183,183,100.0
GFR_01781 , clip ,92,92,100.0
GFR_01780 , clip ,92,92,100.0
GFR_01779 , rib ,72,72,100.0
GFR_01779 , clip ,116,116,100.0
GFR_01778 , clip ,115,115,100.0
GFR_01774 , rib ,86,86,100.0
GFR_01802 , rib ,89,89,100.0
GFR_01773 , contact ,198,198,100.0
GFR_01773 , rib ,289,289,100.0
GFR_01772 , boss ,5,5,100.0
GFR_01770 , rib ,125,125,100.0
GFR_01770 , contact ,67,67,100.0
GFR_01770 , clip ,296,296,100.0
GFR_01769 , rib ,126,126,100.0
GFR_01769 , clip ,292,292,100.0
GFR_01787 , rib ,63,63,100.0
GFR_01788 , clip ,116,116,100.0
GFR_01788 , contact ,48,48,100.0
GFR_01789 , contact ,48,48,100.0
GFR_01802 , clip ,86,86,100.0
GFR_01801 , clip ,86,86,100.0
GFR_01801 , rib ,89,89,100.0
GFR_01800 , boss ,48,48,100.0
GFR_01795 , rib ,51,51,100.0
GFR_01795 , boss ,58,58,100.0
GFR_01794 , rib ,51,51,100.0
GFR_01793 , contact ,41,41,100.0
GFR_01793 , boss ,125,125,100.0
GFR_01792 , boss ,125,125,100.0
GFR_01792 , contact ,41,41,100.0
GFR_01791 , clip ,144,144,100.0
GFR_01791 , rib ,57,57,100.0
GFR_01790 , clip ,146,146,100.0
GFR_01790 , rib ,46,46,100.0
GFR_01789 , rib ,178,178,100.0
GFR_01789 , clip ,116,116,100.0
GFR_01822 , contact ,30,30,100.0
GFR_01822 , rib ,42,42,100.0
GFR_01823 , boss ,183,183,100.0
GFR_01857 , contact ,33,33,100.0
GFR_01860 , rib ,308,308,100.0
GFR_01859 , rib ,365,365,100.0
